1E+027,pr2,pr3,pr4,pr5,label,intId
660,817,620,671,621,extend,2
660,817,620,671,621,extend,2
659,817,620,671,621,extend,2
660,816,620,671,620,extend,2
659,817,619,671,620,extend,2
660,817,620,671,621,extend,2
660,817,620,671,620,extend,2
660,818,620,671,621,extend,2
660,820,620,671,621,extend,2
660,823,620,671,621,extend,2
660,824,620,671,621,extend,2
659,826,620,671,621,extend,2
660,826,620,671,622,extend,2
660,826,620,671,621,extend,2
660,826,620,671,621,extend,2
660,825,621,672,621,extend,2
660,825,621,671,621,extend,2
660,824,621,671,621,extend,2
660,824,622,671,620,extend,2
660,823,621,671,621,extend,2
660,822,621,671,621,extend,2
660,822,621,671,621,extend,2
659,822,621,671,620,extend,2
659,821,621,671,621,extend,2
660,821,621,671,621,extend,2
659,820,621,671,621,extend,2
660,820,622,672,621,extend,2
659,820,622,672,621,extend,2
660,819,622,671,621,extend,2
660,820,621,672,620,extend,2
660,819,622,671,620,extend,2
660,820,622,672,620,extend,2
660,820,622,672,621,extend,2
660,820,622,672,620,extend,2
660,820,622,672,620,extend,2
660,820,622,672,620,extend,2
660,819,622,672,620,extend,2
659,819,622,672,620,extend,2
659,819,622,672,620,extend,2
659,820,622,672,620,extend,2
660,819,622,672,619,extend,2
659,819,622,672,620,extend,2
659,819,622,672,619,extend,2
659,820,621,672,619,extend,2
659,819,620,673,619,extend,2
659,819,622,672,619,extend,2
659,819,622,672,619,extend,2
659,819,622,672,619,extend,2
659,820,622,673,620,extend,2
659,819,622,673,619,extend,2
659,819,621,673,619,extend,2
659,819,622,672,620,extend,2
659,819,621,673,619,extend,2
660,818,622,672,619,extend,2
659,820,622,673,619,extend,2
659,819,621,673,620,extend,2
660,820,622,673,619,extend,2
659,820,621,673,620,extend,2
659,819,623,673,620,extend,2
660,820,622,674,620,extend,2
659,819,622,673,620,extend,2
659,820,624,673,619,extend,2
659,820,623,674,620,extend,2
660,819,623,674,620,extend,2
659,820,623,674,620,extend,2
659,821,623,674,619,extend,2
660,821,623,674,620,extend,2
660,821,623,674,620,extend,2
659,821,623,675,620,extend,2
660,821,623,675,620,extend,2
660,821,623,675,621,extend,2
660,821,623,675,621,extend,2
660,821,624,675,621,extend,2
660,822,623,675,620,extend,2
660,821,624,675,621,extend,2
660,822,624,675,621,extend,2
660,822,623,675,621,extend,2
660,822,624,675,620,extend,2
660,822,625,676,621,extend,2
661,822,624,676,621,extend,2
660,822,624,676,621,extend,2
661,822,624,676,621,extend,2
660,822,624,676,621,extend,2
661,822,624,676,622,extend,2
660,822,624,676,621,extend,2
661,822,624,676,622,extend,2
660,822,624,676,621,extend,2
660,822,624,676,621,extend,2
660,823,625,676,621,extend,2
661,823,625,676,621,extend,2
661,823,625,677,621,extend,2
661,823,625,677,621,extend,2
660,823,625,676,621,extend,2
660,824,625,677,621,extend,2
661,823,625,677,622,extend,2
661,824,625,677,622,extend,2
661,824,625,677,622,extend,2
661,823,625,677,622,extend,2
660,823,625,677,621,extend,2
661,823,626,677,622,extend,2
660,824,625,677,621,extend,2
661,823,626,676,621,extend,2
661,824,625,677,621,extend,2
661,824,626,676,622,extend,2
661,824,626,677,622,extend,2
661,824,626,677,622,extend,2
661,824,626,677,622,extend,2
661,824,626,677,622,extend,2
661,823,626,677,622,extend,2
661,824,626,677,622,extend,2
661,824,626,677,622,extend,2
661,824,626,676,622,extend,2
661,824,626,677,622,extend,2
661,824,626,677,622,extend,2
661,824,626,677,622,extend,2
661,824,626,677,622,extend,2
661,824,626,677,622,extend,2
661,824,626,678,622,extend,2
661,824,625,681,622,extend,2
661,824,625,682,622,extend,2
660,824,625,685,621,extend,2
659,824,625,688,619,extend,2
660,825,626,690,620,extend,2
659,828,626,693,619,extend,2
659,828,627,694,619,extend,2
659,830,627,695,619,extend,2
658,829,628,695,618,extend,2
659,829,628,696,616,extend,2
658,830,629,696,617,extend,2
659,830,628,697,617,extend,2
658,830,628,697,617,extend,2
658,830,629,697,617,extend,2
657,831,629,697,616,extend,2
657,831,629,697,616,extend,2
657,831,629,698,616,extend,2
657,832,629,698,616,extend,2
657,831,629,698,616,one,3
658,832,630,698,616,one,3
657,831,630,698,616,one,3
658,832,630,698,616,one,3
657,832,630,698,616,one,3
657,833,630,699,616,one,3
657,832,630,699,616,one,3
658,833,630,699,616,one,3
657,833,630,699,616,one,3
657,833,631,699,616,one,3
657,833,631,699,616,one,3
658,832,631,699,617,one,3
658,833,630,699,616,one,3
658,832,631,699,616,one,3
658,833,631,700,616,one,3
657,833,631,699,616,one,3
658,833,632,700,615,one,3
658,834,631,700,616,one,3
658,833,632,699,616,one,3
658,834,631,700,616,one,3
658,834,631,699,617,one,3
658,833,631,700,616,one,3
658,833,632,699,617,one,3
657,834,631,699,616,one,3
658,833,631,699,616,one,3
658,833,631,700,616,one,3
658,833,631,699,616,one,3
658,833,632,699,616,one,3
658,833,631,699,616,one,3
657,833,632,699,616,one,3
658,833,631,700,616,one,3
657,833,632,699,616,one,3
658,833,631,699,616,one,3
657,833,631,699,616,one,3
657,833,631,699,616,one,3
657,833,631,699,616,one,3
657,832,631,699,616,one,3
657,833,630,699,616,one,3
658,834,631,699,616,one,3
657,833,631,699,616,one,3
658,833,631,699,616,one,3
658,833,632,699,617,one,3
658,834,631,700,616,one,3
658,834,632,699,617,one,3
658,833,632,699,616,one,3
658,833,631,700,617,one,3
658,833,631,700,617,one,3
657,833,631,699,616,one,3
657,833,632,700,616,one,3
657,833,631,699,616,one,3
657,833,631,699,615,one,3
657,834,632,699,615,one,3
657,834,631,699,615,one,3
656,833,632,699,615,one,3
656,833,632,699,614,one,3
655,833,631,699,612,one,3
654,833,631,699,613,one,3
654,833,631,700,614,one,3
654,833,631,699,614,one,3
655,832,632,699,613,one,3
655,833,631,699,613,one,3
655,832,631,699,614,one,3
656,833,631,699,614,one,3
