delta Time, Unix Time, pr1, pr2, pr3, pr4, pr5
0.00750422477722,1577147215.71,446,902,635,696,292
0.00766515731812,1577147215.71,445,902,632,695,290
0.00782608985901,1577147215.71,446,902,634,695,292
0.00798606872559,1577147215.71,445,902,635,695,291
0.0153021812439,1577147215.72,447,902,635,697,293
0.0399370193481,1577147215.74,446,903,634,695,292
0.0645251274109,1577147215.77,444,902,634,694,290
0.0849831104279,1577147215.79,446,901,635,696,293
0.109738111496,1577147215.81,447,902,634,696,293
0.130283117294,1577147215.83,445,902,635,693,291
0.154700040817,1577147215.86,445,902,635,695,290
0.175402164459,1577147215.88,446,902,634,696,293
0.199957132339,1577147215.9,446,902,634,696,294
0.224159002304,1577147215.93,446,902,635,695,291
0.244750022888,1577147215.95,445,901,633,694,291
0.269511222839,1577147215.97,446,902,634,695,293
0.289994001389,1577147215.99,446,903,635,696,292
0.314420223236,1577147216.02,445,901,634,696,291
0.339026212692,1577147216.04,446,901,635,695,292
0.359737157822,1577147216.06,445,902,634,695,291
0.38401222229,1577147216.09,446,902,636,695,293
0.40482211113,1577147216.11,447,902,635,695,293
0.429097175598,1577147216.13,444,903,636,693,291
0.453779220581,1577147216.16,445,902,637,695,292
0.474151134491,1577147216.18,446,902,637,695,292
0.498701095581,1577147216.2,443,902,636,694,290
0.519309997559,1577147216.22,444,902,637,694,290
0.543787002563,1577147216.25,444,901,636,694,291
0.564558029175,1577147216.27,443,901,636,694,291
0.588832139969,1577147216.29,442,901,637,693,290
0.613458156586,1577147216.32,440,900,635,693,286
0.633881092072,1577147216.34,444,902,635,695,291
0.658618211746,1577147216.36,443,901,637,695,289
0.678958177567,1577147216.38,441,900,635,695,287
0.70352602005,1577147216.41,442,900,635,696,289
0.72797703743,1577147216.43,442,900,634,696,289
0.748891115189,1577147216.45,441,900,634,697,287
0.773061990738,1577147216.47,441,900,634,697,286
0.793642044067,1577147216.5,440,901,631,696,285
0.818342208862,1577147216.52,440,900,633,698,286
0.842868089676,1577147216.54,442,897,632,699,287
0.86319899559,1577147216.56,441,900,631,698,285
0.887673139572,1577147216.59,441,899,632,698,286
0.908558130264,1577147216.61,441,899,632,700,286
0.932694196701,1577147216.63,441,899,631,700,286
0.953241109848,1577147216.65,440,899,631,698,285
0.977892160416,1577147216.68,439,898,631,698,283
1.00230908394,1577147216.7,441,899,632,700,286
1.02298521996,1577147216.72,440,900,631,699,286
1.04749512672,1577147216.75,439,899,631,698,283
1.0683221817,1577147216.77,440,899,632,699,284
1.09261107445,1577147216.79,441,898,631,698,285
1.11696600914,1577147216.82,440,900,632,699,286
1.13776302338,1577147216.84,441,899,631,699,283
1.16224002838,1577147216.86,440,898,631,698,284
1.18264818192,1577147216.88,441,899,632,698,286
1.20715403557,1577147216.91,440,899,632,699,285
1.23199009895,1577147216.93,439,898,631,698,282
1.25251507759,1577147216.95,441,899,632,699,285
1.27680802345,1577147216.98,440,899,632,699,285
1.2974691391,1577147217,441,897,632,699,285
1.32185006142,1577147217.02,440,900,631,698,284
1.34245014191,1577147217.04,437,899,631,696,283
1.3671681881,1577147217.07,442,899,633,700,286
1.39168310165,1577147217.09,441,899,632,699,285
1.41198611259,1577147217.11,439,899,632,697,284
1.43642020226,1577147217.14,441,898,633,698,285
1.4571750164,1577147217.16,442,899,632,699,285
1.48169898987,1577147217.18,440,899,632,698,286
1.50629806519,1577147217.21,441,901,633,698,285
1.52685403824,1577147217.23,439,899,631,697,284
1.55142402649,1577147217.25,441,898,632,697,287
1.57198309898,1577147217.27,441,900,632,698,285
1.59639120102,1577147217.3,439,899,632,697,284
1.62083506584,1577147217.32,442,899,633,698,286
1.64146900177,1577147217.34,441,900,633,698,286
1.66603207588,1577147217.37,441,900,633,698,285
1.68638801575,1577147217.39,441,899,633,698,285
1.7110490799,1577147217.41,440,900,632,696,284
1.73177599907,1577147217.43,440,899,634,698,286
1.7561070919,1577147217.46,441,899,633,697,285
1.78078222275,1577147217.48,439,899,632,696,284
1.80118322372,1577147217.5,440,900,633,697,286
1.82577109337,1577147217.53,442,899,633,698,285
1.84617114067,1577147217.55,441,900,631,698,286
1.87084102631,1577147217.57,441,900,634,696,286
1.89527416229,1577147217.6,439,899,632,697,283
1.91576719284,1577147217.62,441,899,632,698,287
1.94057703018,1577147217.64,441,899,632,696,286
1.96092915535,1577147217.66,438,899,632,696,283
1.98541212082,1577147217.69,441,899,633,697,286
2.00977611542,1577147217.71,441,899,632,695,287
2.03037405014,1577147217.73,439,900,632,697,285
2.05507111549,1577147217.76,441,899,633,696,284
2.07555103302,1577147217.78,440,900,632,696,284
2.1001970768,1577147217.8,441,900,633,698,287
2.12050914764,1577147217.82,441,899,633,697,285
2.14514303207,1577147217.85,439,898,631,696,284
2.16963410378,1577147217.87,441,901,633,696,285
2.19026017189,1577147217.89,440,899,633,698,285
2.21483922005,1577147217.92,440,899,632,697,285
2.23539018631,1577147217.94,440,900,633,696,284
2.25974416733,1577147217.96,440,898,632,695,283
2.28446722031,1577147217.99,441,900,634,698,285
2.30483317375,1577147218.01,441,899,632,696,285
2.32931303978,1577147218.03,439,900,633,695,283
2.3498442173,1577147218.05,440,899,633,698,285
2.3745970726,1577147218.08,441,899,633,697,286
2.39915204048,1577147218.1,439,899,633,697,285
2.41942811012,1577147218.12,440,899,633,696,284
2.44416022301,1577147218.15,440,898,632,697,284
2.46481919289,1577147218.17,441,900,632,697,286
2.48902106285,1577147218.19,438,900,633,696,284
2.50973105431,1577147218.21,439,897,632,695,282
2.53432607651,1577147218.24,441,899,633,697,286
2.55882716179,1577147218.26,440,899,633,695,285
2.57930421829,1577147218.28,440,900,633,697,285
2.60376214981,1577147218.31,440,899,632,697,285
2.62454009056,1577147218.33,440,899,632,696,284
2.64874315262,1577147218.35,440,899,633,697,286
2.67336320877,1577147218.38,441,899,633,697,285
2.69403719902,1577147218.4,439,900,632,695,283
2.71844220161,1577147218.42,440,899,633,696,286
2.73889517784,1577147218.44,439,898,632,697,285
2.76370120049,1577147218.47,440,899,631,695,285
2.78803014755,1577147218.49,441,900,634,694,285
2.80860614777,1577147218.51,438,900,633,697,284
2.83300805092,1577147218.53,441,899,633,697,287
2.85362315178,1577147218.56,440,899,633,696,286
2.87827014923,1577147218.58,438,899,632,695,282
2.89871501923,1577147218.6,441,899,633,697,287
2.92345309258,1577147218.63,441,899,632,697,286
2.94765710831,1577147218.65,439,900,632,696,284
2.96821308136,1577147218.67,441,899,633,696,285
2.99284219742,1577147218.69,441,900,631,696,284
3.01343512535,1577147218.72,440,899,633,696,287
3.03798818588,1577147218.74,441,899,634,696,285
3.0622420311,1577147218.76,439,899,632,696,284
3.08316707611,1577147218.78,441,900,633,696,287
3.10775208473,1577147218.81,441,899,634,697,286
3.1279001236,1577147218.83,440,899,631,696,284
3.15250205994,1577147218.85,441,900,633,695,285
3.17712020874,1577147218.88,440,899,633,695,285
3.19776701927,1577147218.9,440,900,633,697,286
3.22202515602,1577147218.92,441,897,633,696,286
3.2429292202,1577147218.94,439,900,631,695,282
3.26745414734,1577147218.97,441,900,634,696,285
3.28781414032,1577147218.99,442,900,633,697,287
3.31231403351,1577147219.01,439,899,632,696,284
3.33674311638,1577147219.04,440,899,634,696,284
3.35750102997,1577147219.06,441,898,633,698,285
3.3819231987,1577147219.08,440,899,632,697,287
3.40258812904,1577147219.1,440,899,634,697,285
3.42715907097,1577147219.13,439,899,632,697,283
3.45156502724,1577147219.15,441,900,633,698,286
3.471971035,1577147219.17,440,899,634,697,285
3.496748209,1577147219.2,439,898,632,698,282
3.51711702347,1577147219.22,441,899,633,698,284
3.54152798653,1577147219.24,439,899,634,697,285
3.5663330555,1577147219.27,440,898,634,698,286
3.58691906929,1577147219.29,441,898,632,698,285
3.61128020287,1577147219.31,439,899,632,696,283
3.63171100616,1577147219.33,440,899,633,698,285
3.65654802322,1577147219.36,441,898,633,699,285
3.67673802376,1577147219.38,439,899,632,697,285
3.7014131546,1577147219.4,439,900,634,697,284
3.72601914406,1577147219.43,440,898,633,698,285
3.74650120735,1577147219.45,442,899,633,698,286
3.77100110054,1577147219.47,440,900,633,698,285
3.79151511192,1577147219.49,439,898,633,697,284
3.81621003151,1577147219.52,442,899,633,699,287
3.84077906609,1577147219.54,441,899,633,698,287
3.86106610298,1577147219.56,439,899,633,697,284
3.88560414314,1577147219.59,441,899,633,698,286
3.90634512901,1577147219.61,441,899,632,698,286
3.93089699745,1577147219.63,440,898,633,699,285
3.95526504517,1577147219.66,440,899,632,697,285
3.97595500946,1577147219.68,440,898,632,696,284
4.00051808357,1577147219.7,442,899,633,699,287
4.02080512047,1577147219.72,441,899,634,699,286
4.04531121254,1577147219.75,440,898,632,697,284
4.06603908539,1577147219.77,441,900,633,697,286
4.09059810638,1577147219.79,440,899,634,698,285
4.11500310898,1577147219.82,441,898,633,699,286
4.13573002815,1577147219.84,441,899,633,698,286
4.1603000164,1577147219.86,438,899,633,697,283
4.18057012558,1577147219.88,441,897,634,699,287
4.20503520966,1577147219.91,442,900,633,699,286
4.22972917557,1577147219.93,441,899,633,698,285
4.25029802322,1577147219.95,442,899,636,698,286
4.27467799187,1577147219.98,441,899,634,699,287
4.29538702965,1577147220,441,900,634,698,288
4.31967401505,1577147220.02,442,900,635,697,286
4.34422802925,1577147220.05,442,899,634,698,286
4.364757061,1577147220.07,444,901,635,699,290
4.38941311836,1577147220.09,443,901,636,698,289
4.41005015373,1577147220.11,441,900,634,698,286
4.43445110321,1577147220.14,445,899,635,697,290
4.45490813255,1577147220.16,445,900,635,698,288
4.47970199585,1577147220.18,444,901,635,699,290
4.50414299965,1577147220.21,445,900,635,698,291
4.52453708649,1577147220.23,445,902,633,698,288
4.54916501045,1577147220.25,444,901,635,699,291
4.56975221634,1577147220.27,446,900,634,699,290
4.59415602684,1577147220.3,443,901,633,697,288
4.61883306503,1577147220.32,445,901,633,697,288
4.63930821419,1577147220.34,445,900,634,698,290
4.66386818886,1577147220.37,444,901,632,698,289
4.68434000015,1577147220.39,444,901,634,695,289
4.70878314972,1577147220.41,445,900,634,697,288
4.73336911201,1577147220.44,446,901,634,699,291
4.75379610062,1577147220.46,445,901,634,697,291
4.7783331871,1577147220.48,443,902,633,696,287
4.79918003082,1577147220.5,445,901,634,697,291
4.82357215881,1577147220.53,446,902,633,696,291
4.84405112267,1577147220.55,444,903,634,697,290
4.86881899834,1577147220.57,444,902,634,696,289
4.8931221962,1577147220.59,444,902,633,695,289
4.9136030674,1577147220.62,444,902,633,697,290
4.93808913231,1577147220.64,444,902,634,696,290
4.95875120163,1577147220.66,444,901,633,696,289
4.98325014114,1577147220.68,445,903,634,696,292
5.00779414177,1577147220.71,443,902,634,697,291
0.000749826431274,1577147221.72,445,900,633,697,290
0.00139188766479,1577147221.72,445,902,634,696,290
0.0019679069519,1577147221.72,444,901,634,695,288
0.00251197814941,1577147221.72,446,901,634,698,292
0.00305199623108,1577147221.72,445,902,633,696,290
0.00358891487122,1577147221.72,443,901,634,694,288
0.00411796569824,1577147221.72,445,901,633,697,290
0.00458788871765,1577147221.72,446,902,633,698,291
0.00505399703979,1577147221.72,444,901,634,697,291
