delta Time, Unix Time,time, pr1, pr2, pr3, pr4, pr5,avg,delta,dn/dt,label,,,,,,,,,,,,,,,,,,,,,
0.773530006409,1577122811.25,0.779999971389771,457,852,630,484,315,547.6,-30,-82.1526588974722,FIST,2,913,1704,1262,977,630,,,,,,416785,1451808,796324,477305,198450,,,,,
0.794085025787,1577122811.27,0.799999952316284,458,853,630,479,315,547,-30.6,-29.1899505890128,FIST,3,1371,2557,1892,1456,945,,,,,,626549,2179417,1193224,706746,297675,,,,,
0.818434000015,1577122811.29,0.819999933242798,458,854,632,477,316,547.4,-30.2,16.4277967627893,FIST,4,1829,3411,2524,1933,1261,,,,,,836313,2908733,1592648,934275,397531,,,,,
0.843209981918,1577122811.32,0.849999904632568,459,853,632,470,316,546,-31.6,-56.5063376895048,FIST,5,2288,4264,3156,2403,1577,,,,,,1046994,3636342,1992072,1155175,497387,,,,,
0.863812923431,1577122811.34,0.869999885559082,457,855,631,468,316,545.4,-32.2,-29.1220551988383,FIST,6,2745,5119,3787,2871,1893,,,,,,1255843,4367367,2390233,1374199,597243,,,,,
0.888354063034,1577122811.36,0.889999866485596,459,856,632,466,317,546,-31.6,24.4487423854871,FIST,7,3204,5975,4419,3337,2210,,,,,,1466524,5100103,2789657,1591355,697732,,,,,
0.90888094902,1577122811.38,0.910000085830689,460,857,632,464,316,545.8,-31.8000000000001,-9.7433190858298,FIST,8,3664,6832,5051,3801,2526,,,,,,1678124,5834552,3189081,1806651,797588,,,,,
0.933193922043,1577122811.41,0.940000057220459,459,858,633,464,316,546,-31.6,8.22606103378824,FIST,9,4123,7690,5684,4265,2842,,,,,,1888805,6570716,3589770,2021947,897444,,,,,
0.957840919495,1577122811.43,0.960000038146973,459,858,634,465,315,546.2,-31.4,8.11457867797267,FIST,10,4582,8548,6318,4730,3157,,,,,,2099486,7306880,3991726,2238172,996669,,,,,
0.978223085403,1577122811.45,0.980000019073486,459,858,634,465,317,546.6,-31,19.6249997083468,FIST,11,5041,9406,6952,5195,3474,,,,,,2310167,8043044,4393682,2454397,1097158,,,,,
1.00298500061,1577122811.48,1.00999999046326,459,858,634,464,316,546.2,-31.4,-16.153839339814,FIST,12,5500,10264,7586,5659,3790,,,,,,2520848,8779208,4795638,2669693,1197014,,,,,
1.02348804474,1577122811.5,1.02999997138977,459,858,634,465,317,546.6,-31,19.5092981053822,FIST,13,5959,11122,8220,6124,4107,,,,,,2731529,9515372,5197594,2885918,1297503,,,,,
1.0481069088,1577122811.52,1.04999995231628,460,859,635,465,318,547.4,-30.2,32.4954066950545,FIST,14,6419,11981,8855,6589,4425,,,,,,2943129,10253253,5600819,3102143,1398627,,,,,
1.0687019825,1577122811.54,1.0699999332428,458,860,634,460,316,545.6,-32,-87.3995415709512,FIST,15,6877,12841,9489,7049,4741,,,,,,3152893,10992853,6002775,3313743,1498483,,,,,
1.09318900108,1577122811.57,1.09999990463257,460,859,634,453,317,544.6,-33,-40.8379646845514,FIST,16,7337,13700,10123,7502,5058,,,,,,3364493,11730734,6404731,3518952,1598972,,,,,
1.11753892899,1577122811.59,1.11999988555908,458,861,635,453,316,544.6,-33,0,FIST,17,7795,14561,10758,7955,5374,,,,,,3574257,12472055,6807956,3724161,1698828,,,,,
1.13815498352,1577122811.61,1.1399998664856,459,862,635,454,316,545.2,-32.4,29.1035318676964,FIST,18,8254,15423,11393,8409,5690,,,,,,3784938,13215099,7211181,3930277,1798684,,,,,
1.1627368927,1577122811.64,1.17000007629395,459,862,636,456,318,546.2,-31.4,40.6803227803644,FIST,19,8713,16285,12029,8865,6008,,,,,,3995619,13958143,7615677,4138213,1899808,,,,,
1.18329286575,1577122811.66,1.19000005722046,459,863,636,464,317,547.8,-29.8000000000001,77.8362569413813,FIST,20,9172,17148,12665,9329,6325,,,,,,4206300,14702912,8020173,4353509,2000297,,,,,
1.20770406723,1577122811.68,1.21000003814697,458,863,636,471,317,549,-28.6,49.1577606691421,FIST,21,9630,18011,13301,9800,6642,,,,,,4416064,15447681,8424669,4575350,2100786,,,,,
1.23207187653,1577122811.71,1.24000000953674,458,864,636,474,317,549.8,-27.8000000000001,32.8301978298866,FIST,22,10088,18875,13937,10274,6959,,,,,,4625828,16194177,8829165,4800026,2201275,,,,,
1.25293588638,1577122811.73,1.25999999046326,458,863,637,476,318,550.4,-27.2,28.7576551350231,FIST,23,10546,19738,14574,10750,7277,,,,,,4835592,16938946,9234934,5026602,2302399,,,,,
1.27723002434,1577122811.75,1.27999997138977,458,864,637,479,318,551.2,-26.4,32.9297545489062,FIST,24,11004,20602,15211,11229,7595,,,,,,5045356,17685442,9640703,5256043,2403523,,,,,
1.29788303375,1577122811.77,1.29999995231628,457,863,638,478,317,550.6,-27,-29.0514562836305,FIST,25,11461,21465,15849,11707,7912,,,,,,5254205,18430211,10047747,5484527,2504012,,,,,
1.32225894928,1577122811.8,1.32999992370605,459,864,637,478,317,551,-26.6,16.4096400608087,FIST,26,11920,22329,16486,12185,8229,,,,,,5464886,19176707,10453516,5713011,2604501,,,,,
1.34702992439,1577122811.82,1.34999990463257,457,864,637,477,319,550.8,-26.8000000000001,-8.07396556299907,FIST,27,12377,23193,17123,12662,8548,,,,,,5673735,19923203,10859285,5940540,2706262,,,,,
1.36759495735,1577122811.84,1.36999988555908,457,864,638,475,319,550.6,-27,-9.7252457795201,FIST,28,12834,24057,17761,13137,8867,,,,,,5882584,20669699,11266329,6166165,2808023,,,,,
1.39211297035,1577122811.87,1.39999985694885,458,863,638,472,318,549.8,-27.8000000000001,-32.6290715320229,FIST,29,13292,24920,18399,13609,9185,,,,,,6092348,21414468,11673373,6388949,2909147,,,,,
1.41242098808,1577122811.89,1.42000007629395,457,864,638,470,318,549.4,-28.2,-19.696654066294,FIST,30,13749,25784,19037,14079,9503,,,,,,6301197,22160964,12080417,6609849,3010271,,,,,
1.43717908859,1577122811.91,1.44000005722046,457,864,639,472,318,550,-27.6,24.2344924546081,FIST,31,14206,26648,19676,14551,9821,,,,,,6510046,22907460,12488738,6832633,3111395,,,,,
1.45762205124,1577122811.93,1.46000003814697,457,863,639,472,318,549.8,-27.8000000000001,-9.78331778148826,FIST,32,14663,27511,20315,15023,10139,,,,,,6718895,23652229,12897059,7055417,3212519,,,,,
1.48204398155,1577122811.96,1.49000000953674,455,864,638,473,317,549.4,-28.2,-16.3787217030994,FIST,33,15118,28375,20953,15496,10456,,,,,,6925920,24398725,13304103,7279146,3313008,,,,,
1.50670409203,1577122811.98,1.50999999046326,458,864,639,473,318,550.4,-27.2,40.5513187303447,FIST,34,15576,29239,21592,15969,10774,,,,,,7135684,25145221,13712424,7502875,3414132,,,,,
